input,time_complexity,space_complexity
"# Python program for implementation of MergeSort


defmergeSort(arr):
    iflen(arr) > 1:

         # Finding the mid of the array
        mid =len(arr)//2

        # Dividing the array elements
        L =arr[:mid]

        # Into 2 halves
        R =arr[mid:]

        # Sorting the first half
        mergeSort(L)

        # Sorting the second half
        mergeSort(R)

        i =j =k =0

        # Copy data to temp arrays L[] and R[]
        whilei < len(L) andj < len(R):
            ifL[i] <=R[j]:
                arr[k] =L[i]
                i +=1
            else:
                arr[k] =R[j]
                j +=1
            k +=1

        # Checking if any element was left
        whilei < len(L):
            arr[k] =L[i]
            i +=1
            k +=1

        whilej < len(R):
            arr[k] =R[j]
            j +=1
            k +=1


# Code to print the list
defprintList(arr):
    fori inrange(len(arr)):
        print(arr[i], end="" "")
    print()


# Driver Code
if__name__ =='__main__':
    arr =[12, 11, 13, 5, 6, 7]
    print(""Given array is"")
    printList(arr)
    mergeSort(arr)
    print(""\nSorted array is "")
    printList(arr)

# This code is contributed by Mayank Khanna
",O(N log(N)),O(N)
"# A binary tree node has data, pointer to left child  
# and a pointer to right child
classNode:
    def__init__(self, val):
        self.val =val
        self.left =None
        self.right =None

# A utility function to merge two sorted arrays into one
# Time Complexity of below function: O(m + n)
# Space Complexity of below function: O(m + n)
defmerge_sorted_arr(arr1, arr2):
    arr =[]
    i =j =0
    whilei < len(arr1) andj < len(arr2):
        ifarr1[i] <=arr2[j]:
            arr.append(arr1[i])
            i +=1
        else:
            arr.append(arr2[j])
            j +=1
    whilei < len(arr1):
        arr.append(arr1[i])
        i +=1
    whilei < len(arr2):
        arr.append(arr2[j])
        j +=1
    returnarr

# A helper function that stores inorder
# traversal of a tree in arr
definorder(root, arr =[]):
    ifroot:
        inorder(root.left, arr)
        arr.append(root.val)
        inorder(root.right, arr)

# A utility function to insert the values
# in the individual Tree
definsert(root, val):
    ifnotroot:
        returnNode(val)
    ifroot.val ==val:
        returnroot
    elifroot.val > val:
        root.left =insert(root.left, val)
    else:
        root.right =insert(root.right, val)
    returnroot

# Converts the merged array to a balanced BST
# Explanation of the below code:
# https://www.geeksforgeeks.org/sorted-array-to-balanced-bst/
defarr_to_bst(arr):
    ifnotarr:
        returnNone
    mid =len(arr) //2
    root =Node(arr[mid])
    root.left =arr_to_bst(arr[:mid])
    root.right =arr_to_bst(arr[mid +1:])
    returnroot

if__name__=='__main__':
    root1 =root2 =None
    
    # Inserting values in first tree
    root1 =insert(root1, 100)
    root1 =insert(root1, 50)
    root1 =insert(root1, 300)
    root1 =insert(root1, 20)
    root1 =insert(root1, 70)
    
    # Inserting values in second tree
    root2 =insert(root2, 80)
    root2 =insert(root2, 40)
    root2 =insert(root2, 120)
    arr1 =[]
    inorder(root1, arr1)
    arr2 =[]
    inorder(root2, arr2)
    arr =merge_sorted_arr(arr1, arr2)
    root =arr_to_bst(arr)
    res =[]
    inorder(root, res)
    print('Following is Inorder traversal of the merged tree')
    fori inres:
      print(i, end =' ')
      
# This code is contributed by Flarow4
",O(m+n),O(m+n)
"# Python program to Merge two BSTs with limited extra space

# Structure of a BST Node


classNode:
    def__init__(self, val):
        self.val =val
        self.left =None
        self.right =None


defmergeTwoBST(root1, root2):
    res =[]
    s1, s2 =[], []

    whileroot1 orroot2 ors1 ors2:
        whileroot1:
            s1.append(root1)
            root1 =root1.left

        whileroot2:
            s2.append(root2)
            root2 =root2.left

        # Step 3 Case 1:-
        ifnots2 or(s1 ands1[-1].val <=s2[-1].val):
            root1 =s1[-1]
            dels1[-1]
            res.append(root1.val)
            root1 =root1.right

        #  Step 3 case 2 :-
        else:
            root2 =s2[-1]
            dels2[-1]
            res.append(root2.val)
            root2 =root2.right

    returnres


# Driver program to test above functions
if__name__ =='__main__':
    root1 =None
    root2 =None

    ''' 
    Let us create the following tree as first tree
             3
            / \
           1   5
    '''

    root1 =Node(3)
    root1.left =Node(1)
    root1.right =Node(5)

    ''' 
    Let us create the following tree as second tree
             4
            / \
           2   6
    '''

    root2 =Node(4)
    root2.left =Node(2)
    root2.right =Node(6)

    ans =mergeTwoBST(root1, root2)
    forx inans:
        print(x, end="" "")

# This code is contributed by Tapesh(tapeshdua420)
",O(M+N),O(H1 + H2)
"# Python program to Merge two BSTs with limited extra space

# Structure of a BST Node


classNode:
    def__init__(self, val):
        self.val =val
        self.left =None
        self.right =None


defmergeTwoBST(root1, root2):
    res =[]
    s1, s2 =[], []

    whileroot1 orroot2 ors1 ors2:
        whileroot1:
            s1.append(root1)
            root1 =root1.left

        whileroot2:
            s2.append(root2)
            root2 =root2.left

        # Step 3 Case 1:-
        ifnots2 or(s1 ands1[-1].val <=s2[-1].val):
            root1 =s1[-1]
            dels1[-1]
            res.append(root1.val)
            root1 =root1.right

        #  Step 3 case 2 :-
        else:
            root2 =s2[-1]
            dels2[-1]
            res.append(root2.val)
            root2 =root2.right

    returnres


# Driver program to test above functions
if__name__ =='__main__':
    root1 =None
    root2 =None

    ''' 
    Let us create the following tree as first tree
             3
            / \
           1   5
    '''

    root1 =Node(3)
    root1.left =Node(1)
    root1.right =Node(5)

    ''' 
    Let us create the following tree as second tree
             4
            / \
           2   6
    '''

    root2 =Node(4)
    root2.left =Node(2)
    root2.right =Node(6)

    ans =mergeTwoBST(root1, root2)
    forx inans:
        print(x, end="" "")

# This code is contributed by Tapesh(tapeshdua420)
",O(M+N),O(H1 + H2)
"classNode:
    def__init__(self, data):
      # Utility function to create a new Binary Tree Node
        self.data =data
        self.left =None
        self.right =None


classBinaryTree:
    def__init__(self):
        self.root =None

    definsert(self, data):
        self.root =self.insertRec(self.root, data)

    definsertRec(self, root, data):
        ifroot isNone:
            root =Node(data)
            returnroot

        ifdata < root.data:
            root.left =self.insertRec(root.left, data)
        elifdata > root.data:
            root.right =self.insertRec(root.right, data)

        returnroot

    # convert sorted Double linked list
    defconvertIntoSortedDLL(self, root, head):
      # base case
        ifroot isNone:
            return

        self.convertIntoSortedDLL(root.right, head)
        root.right =head[0]

        ifhead[0] isnotNone:
            head[0].left =root

        head[0] =root

        self.convertIntoSortedDLL(root.left, head)

    # Merge sorted Double linked list
    defmergeLinkedList(self, head1, head2):
        dummy =Node(0)

        # tail points to the last result node
        tail =dummy

        # so tail->next is the place to
      # add new nodes to the result.
        whileTrue:
            ifhead1 isNone:
              # if either list runs out, use the
              # other list
                tail.right =head2
                break

            ifhead2 isNone:
                tail.right =head1
                break

            ifhead1.data <=head2.data:
                tail.right =head1
                head1.left =tail
                head1 =head1.right
            else:
                tail.right =head2
                head2.left =tail
                head2 =head2.right

            tail =tail.right

        res =dummy.right
        res.left =None
        returnres

    # Function to print nodes in a given linked list
    defprintList(self, node):
        whilenode isnotNone:
            print(node.data, end="" "")
            node =node.right


if__name__ ==""__main__"":
    tree1 =BinaryTree()
    tree2 =BinaryTree()

    # Let us create the following tree as first tree
    #       3
    #       / \
    #     1   5

    tree1.insert(3)
    tree1.insert(1)
    tree1.insert(5)

    # Let us create the following tree as second tree
    #         4
    #         / \
    #       2   6

    tree2.insert(4)
    tree2.insert(2)
    tree2.insert(6)

    # Convert BST into sorted DLL
    head1 =[None]
    head2 =[None]

    tree1.convertIntoSortedDLL(tree1.root, head1)
    tree2.convertIntoSortedDLL(tree2.root, head2)

    # merge sorted DLL
    ans =tree1.mergeLinkedList(head1[0], head2[0])

    tree1.printList(ans)
",O(M+N),"O(max(H1,H2))"
"# A Naive recursive implementation of MCP(Minimum Cost Path) problem
importsys
R =3
C =3

# Returns cost of minimum cost path from (0,0) to (m, n) in mat[R][C]


defminCost(cost, m, n):
    if(n < 0orm < 0):
        returnsys.maxsize
    elif(m ==0andn ==0):
        returncost[m][n]
    else:
        returncost[m][n] +min(minCost(cost, m-1, n-1),
                                minCost(cost, m-1, n),
                                minCost(cost, m, n-1))

# A utility function that returns minimum of 3 integers */


defmin(x, y, z):
    if(x < y):
        returnx if(x < z) elsez
    else:
        returny if(y < z) elsez


# Driver code
cost =[[1, 2, 3],
        [4, 8, 2],
        [1, 5, 3]]
print(minCost(cost, 2, 2))

# This code is contributed by
# Smitha Dinesh Semwal
",O((M * N)3),O(M + N)
"R =3
C =3

# Returns cost of minimum cost path
# from (0,0) to (m, n) in mat[R][C]
defmin_cost_memoized(cost, m, n, memo):
    ifn < 0orm < 0:
        returnfloat('inf')
    elifm ==0andn ==0:
        returncost[m][n]

    ifmemo[m][n] !=-1:
        returnmemo[m][n]

    memo[m][n] =cost[m][n] +min(
        min_cost_memoized(cost, m -1, n -1, memo),
        min_cost_memoized(cost, m -1, n, memo),
        min_cost_memoized(cost, m, n -1, memo)
    )

    returnmemo[m][n]

# Returns cost of minimum cost path
# from (0,0) to (m, n) in mat[R][C]
defmin_cost(cost, m, n):
    memo =[[-1] *C for_ inrange(R)]  # Initialize memo table with -1

    returnmin_cost_memoized(cost, m, n, memo)

# Driver code
cost =[
    [1, 2, 3],
    [4, 8, 2],
    [1, 5, 3]
]

print(min_cost(cost, 2, 2))
",O(M * N),O(M * N)
"# Python3 program for the
# above approach


defminCost(cost, row, col):

    # For 1st column
    fori inrange(1, row):
        cost[i][0] +=cost[i -1][0]

    # For 1st row
    forj inrange(1, col):
        cost[0][j] +=cost[0][j -1]

    # For rest of the 2d matrix
    fori inrange(1, row):
        forj inrange(1, col):
            cost[i][j] +=(min(cost[i -1][j -1],
                               min(cost[i -1][j],
                                   cost[i][j -1])))

    # Returning the value in
    # last cell
    returncost[row -1][col -1]


# Driver code
if__name__ =='__main__':

    row =3
    col =3

    cost =[[1, 2, 3],
            [4, 8, 2],
            [1, 5, 3]]

    print(minCost(cost, row, col))

# This code is contributed by Amit Katiyar
",O(M * N),O(M * N)
"# Python3 program for the
# above approach


defminCost(cost, row, col):

    # For 1st column
    fori inrange(1, row):
        cost[i][0] +=cost[i -1][0]

    # For 1st row
    forj inrange(1, col):
        cost[0][j] +=cost[0][j -1]

    # For rest of the 2d matrix
    fori inrange(1, row):
        forj inrange(1, col):
            cost[i][j] +=(min(cost[i -1][j -1],
                               min(cost[i -1][j],
                                   cost[i][j -1])))

    # Returning the value in
    # last cell
    returncost[row -1][col -1]


# Driver code
if__name__ =='__main__':

    row =3
    col =3

    cost =[[1, 2, 3],
            [4, 8, 2],
            [1, 5, 3]]

    print(minCost(cost, row, col))

# This code is contributed by Amit Katiyar
",O(N * M),O(1)
"# Minimum Cost Path using Dijkstra’s shortest path
#  algorithm with Min Heap by dinglizeng
# Python3

# Define the number of rows and the number of columns
R =4
C =5

# 8 possible moves 
dx =[ 1, -1, 0, 0, 1, 1, -1, -1] 
dy =[ 0, 0, 1, -1, 1, -1, 1, -1] 

# The data structure to store the coordinates of 
#  the unit square and the cost of path from the top 
#  left. 
classCell(): 
    def__init__(self, x, y, z): 
        self.x =x 
        self.y =y 
        self.cost =z 

# To verify whether a move is within the boundary. 
defisSafe(x, y): 
    return(x >=0andx < R and
            y >=0andy < C) 

# This solution is based on Dijkstra’s shortest
#  path algorithm 
# For each unit square being visited, we examine all
#  possible next moves in 8 directions, 
# calculate the accumulated cost of path for each
#  next move, adjust the cost of path of the adjacent 
#  units to the minimum as needed. 
# then add the valid next moves into a Min Heap. 
# The Min Heap pops out the next move with the minimum 
# accumulated cost of path. 
# Once the iteration reaches the last unit at the lower 
# right corner, the minimum cost path will be returned. 
defminCost(cost, m, n): 

    # the array to store the accumulated cost
    # of path from top left corner 
    dp =[[0forx inrange(C)] forx inrange(R)] 

    # the array to record whether a unit
    # square has been visited 
    visited =[[Falseforx inrange(C)] 
                forx inrange(R)] 

    # Initialize these two arrays, set path cost 
    # to maximum integer value, each unit as 
    # not visited 
    fori inrange(R): 
        forj inrange(C): 
            dp[i][j] =float(""Inf"") 
            visited[i][j] =False

    # Define a reverse priority queue. 
    # Priority queue is a heap based implementation. 
    # The default behavior of a priority queue is
    # to have the maximum element at the top. 
    # The compare class is used in the definition of
    # the Min Heap. 
    pq =[] 

    # initialize the starting top left unit with the 
    # cost and add it to the queue as the first move. 
    dp[0][0] =cost[0][0] 
    pq.append(Cell(0, 0, cost[0][0])) 

    while(len(pq)): 
    
        # pop a move from the queue, ignore the units 
        # already visited 
        cell =pq[0] 
        pq.pop(0) 
        x =cell.x 
        y =cell.y 
        if(visited[x][y]): 
            continue

        # mark the current unit as visited 
        visited[x][y] =True

        # examine all non-visited adjacent units in 8
        # directions 
        # calculate the accumulated cost of path for
        # each next move from this unit, 
        # adjust the cost of path for each next
        # adjacent units to the minimum if possible. 
        fori inrange(8): 
            next_x =x +dx[i] 
            next_y =y +dy[i] 
            if(isSafe(next_x, next_y) and
                notvisited[next_x][next_y]): 
                dp[next_x][next_y] =min(dp[next_x][next_y],
                                        dp[x][y] +cost[next_x][next_y]) 
                pq.append(Cell(next_x, next_y, 
                                dp[next_x][next_y])) 

    # return the minimum cost path at the lower 
    # right corner 
    returndp[m][n] 

# Driver code 
cost =[[1, 8, 8, 1, 5], 
        [4, 1, 1, 8, 1], 
        [4, 2, 8, 8, 1], 
        [1, 5, 8, 8, 1]] 
print(minCost(cost, 3, 4)) 
",O(V + E * logV),O(N*M)
"# Python3 program to find maximum
# cash flow among a set of persons

# Number of persons(or vertices in graph)
N =3

# A utility function that returns
# index of minimum value in arr[]
defgetMin(arr):
    
    minInd =0
    fori inrange(1, N):
        if(arr[i] < arr[minInd]):
            minInd =i
    returnminInd

# A utility function that returns
# index of maximum value in arr[]
defgetMax(arr):

    maxInd =0
    fori inrange(1, N):
        if(arr[i] > arr[maxInd]):
            maxInd =i
    returnmaxInd

# A utility function to
# return minimum of 2 values
defminOf2(x, y):

    returnx ifx < y elsey

# amount[p] indicates the net amount to
# be credited/debited to/from person 'p'
# If amount[p] is positive, then i'th 
# person will amount[i]
# If amount[p] is negative, then i'th
# person will give -amount[i]
defminCashFlowRec(amount):

    # Find the indexes of minimum
    # and maximum values in amount[]
    # amount[mxCredit] indicates the maximum
    # amount to be given(or credited) to any person.
    # And amount[mxDebit] indicates the maximum amount
    # to be taken (or debited) from any person.
    # So if there is a positive value in amount[], 
    # then there must be a negative value
    mxCredit =getMax(amount)
    mxDebit =getMin(amount)

    # If both amounts are 0, 
    # then all amounts are settled
    if(amount[mxCredit] ==0andamount[mxDebit] ==0):
        return0

    # Find the minimum of two amounts
    min=minOf2(-amount[mxDebit], amount[mxCredit])
    amount[mxCredit] -=min
    amount[mxDebit] +=min

    # If minimum is the maximum amount to be
    print(""Person "", mxDebit , "" pays "", min
        , "" to "", ""Person "", mxCredit)

    # Recur for the amount array. Note that
    # it is guaranteed that the recursion
    # would terminate as either amount[mxCredit] 
    # or amount[mxDebit] becomes 0
    minCashFlowRec(amount)

# Given a set of persons as graph[] where
# graph[i][j] indicates the amount that
# person i needs to pay person j, this
# function finds and prints the minimum 
# cash flow to settle all debts.
defminCashFlow(graph):

    # Create an array amount[],
    # initialize all value in it as 0.
    amount =[0fori inrange(N)]

    # Calculate the net amount to be paid
    # to person 'p', and stores it in amount[p].
    # The value of amount[p] can be calculated by
    # subtracting debts of 'p' from credits of 'p'
    forp inrange(N):
        fori inrange(N):
            amount[p] +=(graph[i][p] -graph[p][i])

    minCashFlowRec(amount)
    
# Driver code

# graph[i][j] indicates the amount
# that person i needs to pay person j
graph =[ [0, 1000, 2000],
          [0, 0, 5000],
          [0, 0, 0] ]

minCashFlow(graph)

# This code is contributed by Anant Agarwal.
",O(N2),O(N)
"# Program to find minimum number of platforms
# required on a railway station


deffindPlatform(arr, dep, n):
    '''
    Accepts two arrays with arrival and departure time
    and the size of the array
    Returns minimum number of platforms required
    '''

    # plat_needed indicates number of platforms
    # needed at a time
    plat_needed =1
    result =1

    # run a nested loop to find overlap
    fori inrange(n):
        # minimum platform needed
        plat_needed =1

        forj inrange(n):
            # check for overlap
            ifi !=j:
                if(arr[i] >=arr[j] anddep[j] >=arr[i]):
                    plat_needed +=1

        # update result
        result =max(result, plat_needed)

    returnresult

# Driver code


defmain():
    arr =[100, 300, 500]
    dep =[900, 400, 600]

    n =len(arr)

    print(""{}"".format(
        findPlatform(arr, dep, n)))


if__name__ =='__main__':
    main()
",O(n2),O(1)
"importheapq
# Function to find the minimum number
# of platforms required


deffindPlatform(arr, dep, n):
    arr2 =[]
    # Store the arrival and departure time
    fori inrange(n):
        arr2.append([arr[i], dep[i]])
    arr2.sort()  # Sort trains based on arrival time
    p =[]
    count =1
    heapq.heappush(p, arr2[0][1])
    fori inrange(1, n):
        # Check if arrival time of current train
        # is less than or equals to departure time
        # of previous train
        ifp[0] >=arr2[i][0]:
            count +=1
        else:
            heapq.heappop(p)
        heapq.heappush(p, arr2[i][1])
    # return the count of number of platforms required
    returncount


if__name__ ==""__main__"":
    arr =[900, 940, 950, 1100, 1500, 1800]
    dep =[910, 1200, 1120, 1130, 1900, 2000]
    n =len(arr)
    print(findPlatform(arr, dep, n))
",O(N*log(N)),O(1)
"# Program to find minimum
# number of platforms
# required on a railway
# station

# Returns minimum number
# of platforms required


deffindPlatform(arr, dep, n):

    # Sort arrival and
    # departure arrays
    arr.sort()
    dep.sort()

    # plat_needed indicates
    # number of platforms
    # needed at a time
    plat_needed =1
    result =1
    i =1
    j =0

    # Similar to merge in
    # merge sort to process
    # all events in sorted order
    while(i < n andj < n):

        # If next event in sorted
        # order is arrival,
        # increment count of
        # platforms needed
        if(arr[i] <=dep[j]):

            plat_needed +=1
            i +=1

        # Else decrement count
        # of platforms needed
        elif(arr[i] > dep[j]):

            plat_needed -=1
            j +=1

        # Update result if needed
        if(plat_needed > result):
            result =plat_needed

    returnresult

# Driver code


arr =[900, 940, 950, 1100, 1500, 1800]
dep =[910, 1200, 1120, 1130, 1900, 2000]
n =len(arr)

print(""Minimum Number of Platforms Required = "",
      findPlatform(arr, dep, n))

# This code is contributed
# by Anant Agarwal.
",O(N * log N),O(1)
"fromtyping importList

# Function to find the minimum number of platforms required.
deffind_platform_optimized(arr: List[int], dep: List[int], n: int) -> int:

    count =0
    max_platforms =0

    # Find the maximum departure time
    max_departure_time =max(dep)

    # Create a list to store the count of trains at each time
    v =[0] *(max_departure_time +2)

    # Increment the count at the arrival time and decrement at the departure time
    fori inrange(n):
        v[arr[i]] +=1
        v[dep[i] +1] -=1

    # Iterate over the list and keep track of the maximum sum seen so far
    fori inrange(max_departure_time +2):
        count +=v[i]
        max_platforms =max(max_platforms, count)

    returnmax_platforms

# Driver Code
if__name__ =='__main__':
    arr =[100, 300, 600]
    dep =[900, 400, 500]
    n =len(arr)
    print(find_platform_optimized(arr, dep, n))
",O(n),O(1)
"# Function to multiply two numbers
# x and y
defmultiply(x,y):

    # 0 multiplied with anything
    # gives 0 
    if(y ==0):
        return0

    # Add x one by one 
    if(y > 0):
        return(x +multiply(x, y -1))

    # The case where y is negative
    if(y < 0):
        return-multiply(x, -y)
    
# Driver code
print(multiply(5, -11))

# This code is contributed by Anant Agarwal.
",O(y),O(y)
"# Python3 program to Multiply two integers without
# using multiplication, division and bitwise
# operators, and no loops

# divide a number by 2 recursively
defdivideby2(num):

    if(num < 2):
        return0
    return1+divideby2(num-2)

defmultiply(a, b):
    whole_square =(a +b) **2
    a_square =pow(a, 2)
    b_square =pow(b, 2)

    val =whole_square -a_square -b_square

    # for positive value of variable val
    if(val >=0):
        product =divideby2(val)
        
    # for negative value of variable val
    # we first compute the division by 2 for
    # positive val and by subtracting from
    # 0 we can make it negative
    else:
        product =0-divideby2(abs(val))

    returnproduct

# Driver code
a =5
b =-11
print(multiply(a, b))

# This code is contributed by phasing17
",O(num),O(num)
"# Simple Python3 program to multiply two polynomials 
 
# A[] represents coefficients of first polynomial 
# B[] represents coefficients of second polynomial 
# m and n are sizes of A[] and B[] respectively 
defmultiply(A, B, m, n): 
 
    prod =[0] *(m +n -1); 
     
    # Multiply two polynomials term by term 
     
    # Take ever term of first polynomial 
    fori inrange(m): 
         
        # Multiply the current term of first  
        # polynomial with every term of  
        # second polynomial. 
        forj inrange(n): 
            prod[i +j] +=A[i] *B[j]; 
 
    returnprod; 
 
# A utility function to print a polynomial 
defprintPoly(poly, n): 
 
    fori inrange(n): 
        print(poly[i], end =""""); 
        if(i !=0): 
            print(""x^"", i, end =""""); 
        if(i !=n -1): 
            print("" + "", end =""""); 
 
# Driver Code 
 
# The following array represents 
# polynomial 5 + 10x^2 + 6x^3 
A =[5, 0, 10, 6]; 
 
# The following array represents  
# polynomial 1 + 2x + 4x^2 
B =[1, 2, 4]; 
m =len(A); 
n =len(B); 
 
print(""First polynomial is ""); 
printPoly(A, m); 
print(""\nSecond polynomial is ""); 
printPoly(B, n); 
 
prod =multiply(A, B, m, n); 
 
print(""\nProduct polynomial is ""); 
printPoly(prod, m+n-1); 
 
# This code is contributed by chandan_jnu 
",O(mn),O(m + n)
"# Python3 program to solve N Queen
# Problem using backtracking

globalN
N =4


defprintSolution(board):
    fori inrange(N):
        forj inrange(N):
            ifboard[i][j] ==1:
                print(""Q"",end="" "")
            else:
                print(""."",end="" "")
        print()


# A utility function to check if a queen can
# be placed on board[row][col]. Note that this
# function is called when ""col"" queens are
# already placed in columns from 0 to col -1.
# So we need to check only left side for
# attacking queens
defisSafe(board, row, col):

    # Check this row on left side
    fori inrange(col):
        ifboard[row][i] ==1:
            returnFalse

    # Check upper diagonal on left side
    fori, j inzip(range(row, -1, -1),
                    range(col, -1, -1)):
        ifboard[i][j] ==1:
            returnFalse

    # Check lower diagonal on left side
    fori, j inzip(range(row, N, 1),
                    range(col, -1, -1)):
        ifboard[i][j] ==1:
            returnFalse

    returnTrue


defsolveNQUtil(board, col):

    # Base case: If all queens are placed
    # then return true
    ifcol >=N:
        returnTrue

    # Consider this column and try placing
    # this queen in all rows one by one
    fori inrange(N):

        ifisSafe(board, i, col):

            # Place this queen in board[i][col]
            board[i][col] =1

            # Recur to place rest of the queens
            ifsolveNQUtil(board, col +1) ==True:
                returnTrue

            # If placing queen in board[i][col
            # doesn't lead to a solution, then
            # queen from board[i][col]
            board[i][col] =0

    # If the queen can not be placed in any row in
    # this column col then return false
    returnFalse


# This function solves the N Queen problem using
# Backtracking. It mainly uses solveNQUtil() to
# solve the problem. It returns false if queens
# cannot be placed, otherwise return true and
# placement of queens in the form of 1s.
# note that there may be more than one
# solutions, this function prints one of the
# feasible solutions.
defsolveNQ():
    board =[[0, 0, 0, 0],
             [0, 0, 0, 0],
             [0, 0, 0, 0],
             [0, 0, 0, 0]]

    ifsolveNQUtil(board, 0) ==False:
        print(""Solution does not exist"")
        returnFalse

    printSolution(board)
    returnTrue


# Driver Code
if__name__ =='__main__':
    solveNQ()

# This code is contributed by Divyanshu Mehta
",O(N!),O(N2)
"# Python3 program to solve N Queen Problem using
# backtracking
N =4

# ld is an array where its indices indicate row-col+N-1
# (N-1) is for shifting the difference to store negative
# indices
ld =[0] *30

# rd is an array where its indices indicate row+col
# and used to check whether a queen can be placed on
# right diagonal or not
rd =[0] *30

# Column array where its indices indicates column and
# used to check whether a queen can be placed in that
# row or not
cl =[0] *30


# A utility function to print solution
defprintSolution(board):
    fori inrange(N):
        forj inrange(N):
            print(board[i][j], end="" "")
        print()


# A recursive utility function to solve N
# Queen problem
defsolveNQUtil(board, col):

    # Base case: If all queens are placed
    # then return True
    if(col >=N):
        returnTrue

    # Consider this column and try placing
    # this queen in all rows one by one
    fori inrange(N):

        # Check if the queen can be placed on board[i][col]

        # To check if a queen can be placed on 
        # board[row][col] We just need to check 
        # ld[row-col+n-1] and rd[row+coln]
        # where ld and rd are for left and 
        # right diagonal respectively
        if((ld[i -col +N -1] !=1and
             rd[i +col] !=1) andcl[i] !=1):

            # Place this queen in board[i][col]
            board[i][col] =1
            ld[i -col +N -1] =rd[i +col] =cl[i] =1

            # Recur to place rest of the queens
            if(solveNQUtil(board, col +1)):
                returnTrue

            # If placing queen in board[i][col]
            # doesn't lead to a solution,
            # then remove queen from board[i][col]
            board[i][col] =0# BACKTRACK
            ld[i -col +N -1] =rd[i +col] =cl[i] =0

            # If the queen cannot be placed in
            # any row in this column col then return False
    returnFalse


# This function solves the N Queen problem using
# Backtracking. It mainly uses solveNQUtil() to
# solve the problem. It returns False if queens
# cannot be placed, otherwise, return True and
# prints placement of queens in the form of 1s.
# Please note that there may be more than one
# solutions, this function prints one of the
# feasible solutions.
defsolveNQ():
    board =[[0, 0, 0, 0],
             [0, 0, 0, 0],
             [0, 0, 0, 0],
             [0, 0, 0, 0]]
    if(solveNQUtil(board, 0) ==False):
        printf(""Solution does not exist"")
        returnFalse
    printSolution(board)
    returnTrue


# Driver Code
if__name__ =='__main__':
    solveNQ()

# This code is contributed by SHUBHAMSINGH10
",O(N!),O(N)
""""""" Python3 program to solve N Queen Problem 
using Branch or Bound """"""

N =8

"""""" A utility function to print solution """"""
defprintSolution(board):
    fori inrange(N):
        forj inrange(N):
            print(board[i][j], end ="" "")
        print()

"""""" A Optimized function to check if 
a queen can be placed on board[row][col] """"""
defisSafe(row, col, slashCode, backslashCode, 
           rowLookup, slashCodeLookup, 
                       backslashCodeLookup):
    if(slashCodeLookup[slashCode[row][col]] or
        backslashCodeLookup[backslashCode[row][col]] or
        rowLookup[row]):
        returnFalse
    returnTrue

"""""" A recursive utility function 
   to solve N Queen problem """"""
defsolveNQueensUtil(board, col, slashCode, backslashCode, 
                     rowLookup, slashCodeLookup,
                     backslashCodeLookup):
                        
    """""" base case: If all queens are 
       placed then return True """"""
    if(col >=N):
        returnTrue
    fori inrange(N):
        if(isSafe(i, col, slashCode, backslashCode, 
                  rowLookup, slashCodeLookup,
                  backslashCodeLookup)):
                    
            """""" Place this queen in board[i][col] """"""
            board[i][col] =1
            rowLookup[i] =True
            slashCodeLookup[slashCode[i][col]] =True
            backslashCodeLookup[backslashCode[i][col]] =True
            
            """""" recur to place rest of the queens """"""
            if(solveNQueensUtil(board, col +1, 
                                slashCode, backslashCode, 
                                rowLookup, slashCodeLookup, 
                                backslashCodeLookup)):
                returnTrue
            
            """""" If placing queen in board[i][col] 
            doesn't lead to a solution,then backtrack """"""
            
            """""" Remove queen from board[i][col] """"""
            board[i][col] =0
            rowLookup[i] =False
            slashCodeLookup[slashCode[i][col]] =False
            backslashCodeLookup[backslashCode[i][col]] =False
            
    """""" If queen can not be place in any row in 
    this column col then return False """"""
    returnFalse

"""""" This function solves the N Queen problem using 
Branch or Bound. It mainly uses solveNQueensUtil()to 
solve the problem. It returns False if queens 
cannot be placed,otherwise return True or 
prints placement of queens in the form of 1s. 
Please note that there may be more than one 
solutions,this function prints one of the 
feasible solutions.""""""
defsolveNQueens():
    board =[[0fori inrange(N)] 
                forj inrange(N)]
    
    # helper matrices 
    slashCode =[[0fori inrange(N)] 
                    forj inrange(N)]
    backslashCode =[[0fori inrange(N)] 
                        forj inrange(N)]
    
    # arrays to tell us which rows are occupied 
    rowLookup =[False] *N
    
    # keep two arrays to tell us 
    # which diagonals are occupied 
    x =2*N -1
    slashCodeLookup =[False] *x
    backslashCodeLookup =[False] *x
    
    # initialize helper matrices 
    forrr inrange(N):
        forcc inrange(N):
            slashCode[rr][cc] =rr +cc
            backslashCode[rr][cc] =rr -cc +7
    
    if(solveNQueensUtil(board, 0, slashCode, backslashCode, 
                        rowLookup, slashCodeLookup, 
                        backslashCodeLookup) ==False):
        print(""Solution does not exist"")
        returnFalse
        
    # solution found 
    printSolution(board)
    returnTrue

# Driver Code
solveNQueens()

# This code is contributed by SHUBHAMSINGH10
",O(N!),O(N^2)
